species_id,scientific_name,image_url,vegetable,edible,rank
139372,Geum urbanum,https://bs.floristic.org/image/o/8b5e42f0fcf7e2313430abc70292bf752b9dc9bd,False,False,species
166753,Picea abies,https://bs.floristic.org/image/o/839086b536fc2782b9c1cc0f9687b97f3a18ef43,False,False,species
165335,Phalaris arundinacea,https://bs.floristic.org/image/o/8ef6dfd8db76016394ccb54cd75baca93105e165,False,False,species
191449,Veronica chamaedrys,https://bs.floristic.org/image/o/2b8bd09230b0f06ab9fa52f4c4023d485c91c2a4,False,False,species
190808,Vaccinium myrtillus,https://bs.floristic.org/image/o/6bf7a0827cc0d59e8e43304ee00858a32cf6467f,False,False,species
153561,Lythrum salicaria,https://bs.floristic.org/image/o/e42dd296a1fd0fe265bde29e60175cb9326bb9ec,False,False,species
132057,Elymus repens,https://bs.floristic.org/image/o/f279ca2ec52ffc6aeb9c7756da0b4e95b4e21947,False,False,species
149582,Leucanthemum vulgare,https://bs.floristic.org/image/o/cc03c870f80172d0faf20d14ff8291d050afd13f,False,False,species
172188,Pteridium aquilinum,https://bs.floristic.org/image/o/eaa1e69cec1d11160144f54a337e66dbf5ab8a45,True,True,species
115845,Cardamine pratensis,https://bs.floristic.org/image/o/14beb4902fb3e6ecf26640e7c8d330bf91877f02,False,False,species
169371,Polygonum aviculare,https://bs.floristic.org/image/o/0a51eeca4bc1fbc60f8f6146b185783bcce94be4,False,False,species
191787,Vicia cracca,https://bs.floristic.org/image/o/1485047189c839114b670830222c9f8365a06d61,False,False,species
119679,Epilobium angustifolium,https://bs.floristic.org/image/o/da080ed34d4bccdb280ced8359126202553815ba,False,False,species
176931,Rumex obtusifolius,https://bs.floristic.org/image/o/bff585ae8c8d50ee79cafc9bccce500a4d0ded8b,False,False,species
137615,Fragaria vesca,https://bs.floristic.org/image/o/320b74fd6e58087c1e41fe8952d32158dd6ab01b,False,False,species
170143,Populus tremula,https://bs.floristic.org/image/o/f3449aef992de448dcfd4242f94f62780727ae77,False,False,species
130506,Dryopteris filix-mas,https://bs.floristic.org/image/o/954e9fa90630070a2652502b37bdc6b41b00d128,False,False,species
123338,Cornus sanguinea,https://bs.floristic.org/image/o/b0a83ab7cd1cb6b440dfc9ea77faf6d527e2dee7,False,False,species
186154,Syringa vulgaris,https://bs.floristic.org/image/o/70f8c6bddf331adcbef7493a72f9cbff83afad92,False,False,species
151509,Lonicera periclymenum,https://bs.floristic.org/image/o/1ae401ee0d0d644f5d14293e79b1972d93ef0548,False,False,species
161098,Oryza sativa,https://bs.floristic.org/image/o/d22b00ace0483990f6753b0380e647c3688e4214,False,True,species
147663,Lathyrus pratensis,https://bs.floristic.org/image/o/95b8567a27c61c82f91a8ac46228f316ecee021f,False,False,species
176855,Rumex acetosella,https://bs.floristic.org/image/o/58a9618c0be8e5ca4e1633d6bed8d5f57d36e637,False,False,species
167021,Pinus halepensis,https://bs.floristic.org/image/o/adc0540c6d0465d62ec203f878eef234f5df7609,False,False,species
138663,Galium verum,https://bs.floristic.org/image/o/1787388027f94ed8d73b43e730ee695da0b7a01b,False,False,species
107095,Argentina anserina,https://bs.floristic.org/image/o/f2d47472019b9f8f6d25d672ae139cd40e1a9f55,False,False,species
114923,Calystegia sepium,https://bs.floristic.org/image/o/acee332a4c9698643f7a0eda4906100f722bff35,False,False,species
107967,Artemisia vulgaris,https://bs.floristic.org/image/o/066b219abe419d2cc635855c06df8f5850497095,False,False,species
171280,Prunus avium,https://bs.floristic.org/image/o/cfa5920450191946aa0b400f08a8763e108a4641,False,False,species
